relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid	resource
Hetionet::DlA::Disease:Anatomy	dysautonomia	Anatomy	UBERON:0002410	Long COVID	Disease	MONDO:0100233	In this case series, we successfully treated two Long COVID patients using stellate ganglion block, implicating dysautonomia in the pathophysiology of Long COVID and suggesting a novel treatment.	34922127	CustomDB
GNBR::T::Compound:Disease	H2	Compound	DrugBank:DB15127	Myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Although further clinical trials are needed to determine the efficacy and mechanism of H2 gas in ME/CFS, our literature review suggested that H2 gas may be an effective medical gas for the treatment of ME/CFS.	35493814	CustomDB
GNBR::T::Compound:Disease	immunoglobulin G	Compound	DrugBank:DB00028	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	pending further research, clinicians would be justified in offering a course of IgG to selected ME/CFS patients at the more severe end of the spectrum.	34828592	CustomDB
Hetionet::DrD::Disease:Disease	chronic epipharyngitis	Disease	MONDO:0001040	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	Previous reports have suggested that chronic epipharyngitis is involved not only in local symptoms such as cough and postnasal drip, but also in systemic inflammatory diseases such as IgA nephropathy and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and Long COVID.	36012469	CustomDB
Hetionet::DrD::Disease:Disease	chronic epipharyngitis	Disease	MONDO:0001040	Long COVID	Disease	MONDO:0100233	Previous reports have suggested that chronic epipharyngitis is involved not only in local symptoms such as cough and postnasal drip, but also in systemic inflammatory diseases such as IgA nephropathy and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and Long COVID.	36012469	CustomDB
Hetionet::DuG::Disease:Gene	PTEN-induced kinase 1 (PINK1)	Gene	ENTREZ:65018	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	The serum concentrations of mitochondrial regulatory proteins were significantly higher in the P(+) group, including PTEN-induced kinase 1 (PINK1): 1.62 [1.02-2.29] ng/mL vs. 1.34 [0.94-1.74] ng/mL (p = 0.046); Dynamin-1-like protein (DNM1L): 1.6 [0.9-2.4] ng/mL IQR vs. 0.9 [0.5-1.6] ng/mL (p = 0.004); and Mitofusin-2 (MFN2): 0.3 [0.2-0.5] ng/mL vs. 0.2 [0.1-0.3] ng/mL IQR (p = 0.001).	37445288	CustomDB
Hetionet::DuG::Disease:Gene	Dynamin-1-like protein (DNM1L)	Gene	ENTREZ:10059	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	The serum concentrations of mitochondrial regulatory proteins were significantly higher in the P(+) group, including PTEN-induced kinase 1 (PINK1): 1.62 [1.02-2.29] ng/mL vs. 1.34 [0.94-1.74] ng/mL (p = 0.046); Dynamin-1-like protein (DNM1L): 1.6 [0.9-2.4] ng/mL IQR vs. 0.9 [0.5-1.6] ng/mL (p = 0.004); and Mitofusin-2 (MFN2): 0.3 [0.2-0.5] ng/mL vs. 0.2 [0.1-0.3] ng/mL IQR (p = 0.001).	37445288	CustomDB
Hetionet::DuG::Disease:Gene	Mitofusin-2 (MFN2)	Gene	ENTREZ:9927	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	The serum concentrations of mitochondrial regulatory proteins were significantly higher in the P(+) group, including PTEN-induced kinase 1 (PINK1): 1.62 [1.02-2.29] ng/mL vs. 1.34 [0.94-1.74] ng/mL (p = 0.046); Dynamin-1-like protein (DNM1L): 1.6 [0.9-2.4] ng/mL IQR vs. 0.9 [0.5-1.6] ng/mL (p = 0.004); and Mitofusin-2 (MFN2): 0.3 [0.2-0.5] ng/mL vs. 0.2 [0.1-0.3] ng/mL IQR (p = 0.001).	37445288	CustomDB
Hetionet::DuG::Disease:Gene	chemokine ligand 18 (PARC, CCL18)	Gene	ENTREZ:6362	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	Patients from the P(+) group also had higher serum levels of chemokine ligand 18 (PARC, CCL18), IL-6, and tumour necrosis factor-alpha (TNF-α) cytokines than the P(-) group.	37445288	CustomDB
Hetionet::DuG::Disease:Gene	IL-6	Gene	ENTREZ:3569	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	Patients from the P(+) group also had higher serum levels of chemokine ligand 18 (PARC, CCL18), IL-6, and tumour necrosis factor-alpha (TNF-α) cytokines than the P(-) group.	37445288	CustomDB
Hetionet::DuG::Disease:Gene	tumour necrosis factor-alpha (TNF-α)	Gene	ENTREZ:7124	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	Patients from the P(+) group also had higher serum levels of chemokine ligand 18 (PARC, CCL18), IL-6, and tumour necrosis factor-alpha (TNF-α) cytokines than the P(-) group.	37445288	CustomDB
Hetionet::DdG::Disease:Gene	interferon alpha (IFN-α)	Gene	ENTREZ:3439	post coronavirus disease 2019 (post-COVID-19) complications	Disease	MONDO:0100233	The concentration of interferon alpha (IFN-α) was decreased in the P(+) group.	37445288	CustomDB
GNBR::Md::Gene:Disease	TNF-α	Gene	ENTREZ:7124	post-COVID-19 complications	Disease	MONDO:0100233	TNF-α could be a promising biomarker for predicting pulmonary complications and may be a potential target for therapeutic intervention in patients with post-COVID-19 complications.	37445288	CustomDB
Hetionet::DrD::Disease:Disease	Functional neurologic disorder	Disease	MONDO:0002104	postacute sequelae of SARS-CoV-2 infection	Disease	MONDO:0100233	This review summarizes the literature on the overlapping nature and discrimination of PASC from FND in COVID-19 survivors.	38015183	CustomDB
Hetionet::DrD::Disease:Disease	prediabetes	Disease	MONDO:0006920	long-COVID	Disease	MONDO:0100233	These included prediabetes (21.4%), low DHEA-S (21.4%), subclinical hypothyroidism (3.6%), non-specific thyroid function abnormality (7.1%), thyroid autoimmunity (7.1%), low testosterone in males (6.6%), and low IGF-1 (3.6%). All patients had normal adrenal reserve.	37996650	CustomDB
Hetionet::DrD::Disease:Disease	subclinical hypothyroidism	Disease	MONDO:0005420	long-COVID	Disease	MONDO:0100233	These included prediabetes (21.4%), low DHEA-S (21.4%), subclinical hypothyroidism (3.6%), non-specific thyroid function abnormality (7.1%), thyroid autoimmunity (7.1%), low testosterone in males (6.6%), and low IGF-1 (3.6%). All patients had normal adrenal reserve.	37996650	CustomDB
Hetionet::DrD::Disease:Disease	thyroid autoimmunity	Disease	MONDO:0005623	long-COVID	Disease	MONDO:0100233	These included prediabetes (21.4%), low DHEA-S (21.4%), subclinical hypothyroidism (3.6%), non-specific thyroid function abnormality (7.1%), thyroid autoimmunity (7.1%), low testosterone in males (6.6%), and low IGF-1 (3.6%). All patients had normal adrenal reserve.	37996650	CustomDB
HSDN::has_symptom:Disease:Phenotype	palpitations	Phenotype	SYMP:0000530	long COVID	Disease	MONDO:0100233	This study suggests changes in long COVID phenotype in individuals infected later in the pandemic, with less palpitations and chest pain reported.	37974068	CustomDB
HSDN::has_symptom:Disease:Phenotype	chest pain	Phenotype	SYMP:0000576	long COVID	Disease	MONDO:0100233	This study suggests changes in long COVID phenotype in individuals infected later in the pandemic, with less palpitations and chest pain reported.	37974068	CustomDB
Hetionet::DrD::Disease:Disease	thromboembolism	Disease	MESH:D013923	long COVID	Disease	MONDO:0100233	At the 12-month follow-up, persistent cough and sputum were associated with the characteristics of severe COVID-19 based on imaging findings, renal and liver dysfunction, pulmonary thromboembolism, and higher serum levels of LDH, KL-6, and HbA1C.	37964338	CustomDB
HSDN::has_symptom:Disease:Phenotype	prolonged cough	Phenotype	SYMP:0000614	long COVID	Disease	MONDO:0100233	In a Japanese population with long COVID, prolonged cough and sputum production were closely associated with severe COVID-19.	37964338	CustomDB
HSDN::has_symptom:Disease:Phenotype	sputum production	Phenotype	SYMP:0000431	long COVID	Disease	MONDO:0100233	In a Japanese population with long COVID, prolonged cough and sputum production were closely associated with severe COVID-19.	37964338	CustomDB
Hetionet::DuG::Disease:Gene	LDH	Gene	ENTREZ:3939	long COVID	Disease	MONDO:0100233	At the 12-month follow-up, persistent cough and sputum were associated with the characteristics of severe COVID-19 based on imaging findings, renal and liver dysfunction, pulmonary thromboembolism, and higher serum levels of LDH, KL-6, and HbA1C.	37964338	CustomDB
Hetionet::DuG::Disease:Gene	KL-6	Gene	ENTREZ:4582	long COVID	Disease	MONDO:0100233	At the 12-month follow-up, persistent cough and sputum were associated with the characteristics of severe COVID-19 based on imaging findings, renal and liver dysfunction, pulmonary thromboembolism, and higher serum levels of LDH, KL-6, and HbA1C.	37964338	CustomDB
Hetionet::DuG::Disease:Gene	HbA1C	Gene	ENTREZ:2645	long COVID	Disease	MONDO:0100233	At the 12-month follow-up, persistent cough and sputum were associated with the characteristics of severe COVID-19 based on imaging findings, renal and liver dysfunction, pulmonary thromboembolism, and higher serum levels of LDH, KL-6, and HbA1C.	37964338	CustomDB
HSDN::has_symptom:Disease:Phenotype	memory impairment	Phenotype	SYMP:0000719	post-COVID syndrome	Disease	MONDO:0100233	Further research and exploration are warranted to better understand the potential benefits of donepezil in managing post-COVID-related memory impairment.	37952347	CustomDB
GNBR::T::Compound:Disease	donepezil	Compound	DrugBank:DB00843	post-COVID syndrome	Disease	MONDO:0100233	Further research and exploration are warranted to better understand the potential benefits of donepezil in managing post-COVID-related memory impairment.	37952347	CustomDB
GNBR::Md::Gene:Disease	COMP	Gene	ENTREZ:1311	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
HSDN::has_symptom:Disease:Phenotype	smell disorder	Phenotype	SYMP:0000551	long COVID	Disease	MONDO:0100233	Two DEPs (APOA4 and LRP1) involved in both neuron and cholesterol pathways showed associations with smell disorder.	37924708	CustomDB
GNBR::Md::Gene:Disease	LRP1	Gene	ENTREZ:4035	long COVID	Disease	MONDO:0100233	Two DEPs (APOA4 and LRP1) involved in both neuron and cholesterol pathways showed associations with smell disorder.	37924708	CustomDB
GNBR::Md::Gene:Disease	APOA4	Gene	ENTREZ:337	long COVID	Disease	MONDO:0100233	Two DEPs (APOA4 and LRP1) involved in both neuron and cholesterol pathways showed associations with smell disorder.	37924708	CustomDB
GNBR::Md::Gene:Disease	PLG	Gene	ENTREZ:5340	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::Md::Gene:Disease	SERPINE1	Gene	ENTREZ:5054	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::Md::Gene:Disease	SRGN	Gene	ENTREZ:5552	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::Md::Gene:Disease	COL1A1	Gene	ENTREZ:1277	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::T::Compound:Disease	sesamin	Compound	MESH:C054125	long COVID	Disease	MONDO:0100233	This study suggests that sesamin shows potential anti-SARS-CoV-2 activity for drug development.	38002386	CustomDB
GNBR::Md::Gene:Disease	FLNA	Gene	ENTREZ:2316	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::Md::Gene:Disease	APOE	Gene	ENTREZ:348	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::Md::Gene:Disease	TPM1	Gene	ENTREZ:7168	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::Md::Gene:Disease	AGT	Gene	ENTREZ:183	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
HSDN::has_symptom:Disease:Phenotype	headache	Phenotype	SYMP:0000504	long COVID	Disease	MONDO:0100233	There is a higher prevalence of headache in individuals with long COVID who contracted the Delta variant than in those who were infected with the Wuhan or Alpha variants.	37865841	CustomDB
GNBR::Md::Gene:Disease	TPM2	Gene	ENTREZ:7169	long COVID	Disease	MONDO:0100233	These proteins were mainly enriched in complement and coagulation (COMP, PLG, SERPINE1, SRGN, COL1A1, FLNA, and APOE) and hypertrophic/dilated cardiomyopathy (TPM2, TPM1, and AGT) pathways.	37924708	CustomDB
GNBR::T::Compound:Disease	Extracts from Angelica sinensis (Oliv.) Diels roots	Compound	DrugBank:DB14283	long-COVID	Disease	MONDO:0100233	Extracts from Angelica sinensis (Oliv.) Diels roots, Annona squamosa L. seeds, Azadirachta indica A. Juss. fruits, Buddleja officinalis Maxim. flowers, Burkea africana Hook. bark and Clinopodium menthifolium (Host) Stace aerial parts showed a potent anti SARS-CoV-2 activity (IC50 < 5 μg/ml) with only moderate cytotoxicity (CC50 > 60 μg/ml, Caco-2).	37783406	CustomDB
HSDN::has_symptom:Disease:Phenotype	depression	Phenotype	SYMP:0000022	long COVID	Disease	MONDO:0100233	Patients with at least one long COVID symptom showed lower quality of life and scored higher on assessments for depression, anxiety, and fear of COVID-19.	37783167	CustomDB
HSDN::has_symptom:Disease:Phenotype	anxiety	Phenotype	SYMP:0000412	long COVID	Disease	MONDO:0100233	Patients with at least one long COVID symptom showed lower quality of life and scored higher on assessments for depression, anxiety, and fear of COVID-19.	37783167	CustomDB
HSDN::has_symptom:Disease:Phenotype	anxiety	Phenotype	SYMP:0000412	long coronavirus disease	Disease	MONDO:0100233	Incident conditions-most commonly anxiety, depression and/or panic disorder; migraines; and autonomic dysfunction-were diagnosed on clinical grounds.	37773635	CustomDB
HSDN::has_symptom:Disease:Phenotype	headache	Phenotype	SYMP:0000504	long coronavirus disease	Disease	MONDO:0100233	Two clusters of presenting symptoms-fatigue with multiple symptoms, and fatigue and headache with cardiopulmonary symptoms-were identified.	37773635	CustomDB
HSDN::has_symptom:Disease:Phenotype	fatigue	Phenotype	SYMP:0019177	long coronavirus disease	Disease	MONDO:0100233	Two clusters of presenting symptoms-fatigue with multiple symptoms, and fatigue and headache with cardiopulmonary symptoms-were identified.	37773635	CustomDB
HSDN::has_symptom:Disease:Phenotype	depression	Phenotype	SYMP:0000022	long coronavirus disease	Disease	MONDO:0100233	Incident conditions-most commonly anxiety, depression and/or panic disorder; migraines; and autonomic dysfunction-were diagnosed on clinical grounds.	37773635	CustomDB
HSDN::has_symptom:Disease:Phenotype	autonomic dysfunction	Phenotype	SYMP:0000336	long coronavirus disease	Disease	MONDO:0100233	Incident conditions-most commonly anxiety, depression and/or panic disorder; migraines; and autonomic dysfunction-were diagnosed on clinical grounds.	37773635	CustomDB
HSDN::has_symptom:Disease:Phenotype	migraines	Phenotype	MESH:D060486	long coronavirus disease	Disease	MONDO:0100233	Incident conditions-most commonly anxiety, depression and/or panic disorder; migraines; and autonomic dysfunction-were diagnosed on clinical grounds.	37773635	CustomDB
GNBR::Md::Gene:Disease	NCAPG	Gene	ENTREZ:64151	long-COVID	Disease	MONDO:0100233	Additionally, NCAPG, MCM10, and CDC25C were identified as hub genes in the peripheral blood differential gene cluster, which could be used as diagnostic markers of poor health conversion.	37606034	CustomDB
HSDN::has_symptom:Disease:Phenotype	sleep disorders	Phenotype	SYMP:0000566	long-COVID-19	Disease	MONDO:0100233	Given the high prevalence of sleep disorders (e.g. insomnia) among long-COVID-19 patients (LC19Ps), approaches to tackle these disorders should not only depend on sleep specialists, but they should also involve general practitioners (GPs).	36842064	CustomDB
Hetionet::DrD::Disease:Disease	asthma	Disease	MONDO:0004979	long COVID-19	Disease	MONDO:0100233	Furthermore, one study revealed that comorbidities such as asthma, hypertension, and depression were risk factors for long COVID.	37890221	CustomDB
Hetionet::DrD::Disease:Disease	hypertension, pregnancy-induced	Disease	MONDO:0024664	long COVID-19	Disease	MONDO:0100233	Furthermore, one study revealed that comorbidities such as asthma, hypertension, and depression were risk factors for long COVID.	37890221	CustomDB
Hetionet::DrD::Disease:Disease	Depression	Disease	MESH:D003863	long COVID-19	Disease	MONDO:0100233	Furthermore, one study revealed that comorbidities such as asthma, hypertension, and depression were risk factors for long COVID.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	fatigue	Phenotype	SYMP:0019177	The general symptoms include fatigue, general body pains, fever, night sweats, and rash.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	pain	Phenotype	SYMP:0000099	The general symptoms include fatigue, general body pains, fever, night sweats, and rash.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	night sweats	Phenotype	SYMP:0000337	The general symptoms include fatigue, general body pains, fever, night sweats, and rash.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	rash	Phenotype	SYMP:0000487	The general symptoms include fatigue, general body pains, fever, night sweats, and rash.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	breathing problems	Phenotype	SYMP:0000868	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	chest pain	Phenotype	SYMP:0000576	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	cough	Phenotype	SYMP:0000614	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	throat pain	Phenotype	SYMP:0000505	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	disturbances of sensation of smell and taste	Phenotype	SYMP:0000551	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	nasal congestion	Phenotype	SYMP:0000869	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	sinusitis	Phenotype	SYMP:0000134	Respiratory symptoms reported include shortness of breath, chest pains, and cough, while otolaryngological symptoms were sore throat, loss of taste, loss of smell, and nasal congestion and sinusitis.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	palpitation	Phenotype	SYMP:0000530	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	abdominal pain	Phenotype	SYMP:0000457	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	abdominal discomfort	Phenotype	SYMP:0000188	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	diarrhea	Phenotype	SYMP:0000570	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	nausea	Phenotype	SYMP:0000458	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	headache	Phenotype	SYMP:0000504	Neurological symptoms include confusion or loss of concentration, headache, visual disturbances, dizziness, sleep disorders, seizures, and tremulousness.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	dizziness	Phenotype	SYMP:0000610	Neurological symptoms include confusion or loss of concentration, headache, visual disturbances, dizziness, sleep disorders, seizures, and tremulousness.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	vomiting	Phenotype	SYMP:0019145	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	loss of appetite	Phenotype	SYMP:0000309	Cardiovascular symptoms reported in the included studies are palpitations and deep vein thrombosis while gastrointestinal symptoms are abdominal pains and discomfort, diarrhea, nausea and vomiting, and loss of appetite.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	confusion	Phenotype	SYMP:0000016	Neurological symptoms include confusion or loss of concentration, headache, visual disturbances, dizziness, sleep disorders, seizures, and tremulousness.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	concentration difficulty	Phenotype	SYMP:0020029	Neurological symptoms include confusion or loss of concentration, headache, visual disturbances, dizziness, sleep disorders, seizures, and tremulousness.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	sleep disturbance	Phenotype	SYMP:0000566	Neurological symptoms include confusion or loss of concentration, headache, visual disturbances, dizziness, sleep disorders, seizures, and tremulousness.	37890221	CustomDB
HSDN::has_symptom:Disease:Phenotype	long COVID-19	Disease	MONDO:0100233	shakes	Phenotype	SYMP:0000662	Neurological symptoms include confusion or loss of concentration, headache, visual disturbances, dizziness, sleep disorders, seizures, and tremulousness.	37890221	CustomDB
GNBR::J::Compound:Disease	vitamin D	Compound	DrugBank:DB11094	Long-COVID	Disease	MONDO:0100233	Low vitamin D levels were reported to negatively influence the outcome of acute COVID-19, as well as to be linked to Long-COVID.	37592162	CustomDB
HSDN::has_symptom:Disease:Phenotype	Sleep disturbance	Phenotype	SYMP:0000566	long COVID-19	Disease	MONDO:0100233	Sleep disturbances are common in long COVID-19 patients.	37898059	CustomDB
GNBR::T::Compound:Disease	blood-derived products	Compound	MESH:D001798	long COVID	Disease	MONDO:0100233	Rational use of these products can be beneficial to patients with SARS-CoV-2 infection or long COVID.	38020714	CustomDB
GNBR::J::Gene:Disease	LZTFL1 rs10490770	Gene	ENTREZ:54585	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	LZTFL1 rs11385942	Gene	ENTREZ:54585	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	LZTFL1 rs17713054	Gene	ENTREZ:54585	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	NADSYN1 rs12785878	Gene	ENTREZ:55191	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	PLXNA4 rs1424597	Gene	ENTREZ:91584	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	IL10 rs1800896	Gene	ENTREZ:3586	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	ACE2 rs2285666	Gene	ENTREZ:59272	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
GNBR::J::Gene:Disease	PEDS1 rs6020298	Gene	ENTREZ:387521	Long COVID	Disease	MONDO:0100233	Polymorphisms in LZTFL1 rs10490770, LZTFL1 rs11385942, LZTFL1 rs17713054, NADSYN1 rs12785878, PLXNA4 rs1424597, IL10 rs1800896, ACE2 rs2285666, PEDS1 rs6020298, and IL10RB rs8178562 appear to be genetic factors involved in development of Long COVID.	37497655	CustomDB
